Abiturnoten im Ländervergleich 2015;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH;
Zahl der Prüfungen;52400;43564;16501;8419;3372;9837;26359;4393;35227;88912;17380;3961;11324;5412;13233;6369;
#NAME?;51101;42032;15876;8062;3235;9451;25574;4092;33770;86347;16969;3875;11037;5157;12751;6234;
#NAME?;1299;1532;625;357;137;386;785;301;1457;2565;411;86;287;255;482;135;
- nicht bestanden (%);2,5;3,5;3,8;4,2;4,1;3,9;3;6,9;4,1;2,9;2,4;2,2;2,5;4,7;3,6;2,1;
Notenmittel;2,44;2,31;2,39;2,3;2,45;2,43;2,43;2,34;2,59;2,47;2,52;2,38;2,32;2,39;2,52;2,16;
Note;Häufigkeit;;;;;;;;;;;;;;;;
1;655;790;252;176;65;158;419;87;264;1280;178;70;159;82;112;193;4940
1,1;459;492;196;87;35;110;269;57;186;823;137;42;123;46;91;130;3283
1,2;664;689;242;143;52;140;355;81;302;1170;195;56;185;99;132;163;4668
1,3;841;912;299;183;70;156;465;87;366;1426;232;62;241;94;146;193;5773
1,4;1026;1035;367;243;70;201;556;105;499;1642;287;63;273;126;202;261;6956
1,5;1222;1262;461;240;77;245;696;149;602;2000;359;100;357;146;267;236;8419
1,6;1402;1455;465;313;88;267;732;105;715;2359;420;115;368;152;285;257;9498
1,7;1688;1655;555;306;84;307;831;160;796;2654;481;149;456;167;361;309;10959
1,8;1825;1867;587;371;108;381;974;174;869;3030;562;170;530;220;414;297;12379
1,9;2114;2089;700;364;130;379;1030;175;1136;3436;616;167;548;236;454;374;13948
2;2240;2043;707;377;137;378;1040;170;1132;3366;649;155;548;205;529;322;13998
2,1;2477;2292;734;425;128;451;1123;196;1284;3733;748;199;586;239;536;352;15503
2,2;2685;2295;814;433;143;461;1188;231;1412;4145;751;203;647;257;589;373;16627
2,3;2786;2451;777;419;132;488;1340;218;1532;4113;795;211;610;272;647;337;17128
2,4;2811;2443;894;474;159;486;1359;213;1666;4421;816;208;623;282;705;341;17901
2,5;2879;2544;885;451;202;527;1418;212;1868;4682;914;238;581;270;700;285;18656
2,6;2844;2357;903;451;175;491;1394;228;1917;4578;960;228;587;299;719;295;18426
2,7;2919;2268;911;442;162;498;1423;212;1945;4616;986;222;585;290;777;286;18542
2,8;2882;2191;929;446;182;523;1460;231;2122;4763;1030;206;526;300;796;298;18885
2,9;2734;2056;884;406;188;562;1361;204;2242;4936;963;255;514;285;795;248;18633
3;2594;1724;772;360;193;475;1335;191;2050;4357;1011;197;491;250;774;178;16952
3,1;2312;1647;690;318;180;466;1107;186;2102;4448;942;182;453;230;677;169;16109
3,2;2181;1333;654;242;149;407;1080;153;1959;4075;876;153;369;190;671;108;14600
3,3;1794;948;473;203;129;339;955;130;1755;3581;677;97;305;174;487;103;12150
3,4;1373;642;339;112;99;244;731;71;1396;2892;594;69;202;137;397;66;9364
3,5;997;337;241;42;57;178;519;46;953;2110;433;32;107;74;261;47;6434
3,6;502;150;106;20;27;88;279;17;521;1125;215;21;46;29;136;10;3292
3,7;167;43;31;9;10;34;109;2;156;455;99;3;17;6;64;2;1207
3,8;22;13;2;3;2;9;24;1;21;89;34;2;0;0;21;1;244
3,9;5;2;3;3;2;2;2;0;2;22;2;0;0;0;1;0;46
4;1;7;3;0;0;0;0;0;0;20;7;0;0;0;5;0;43
